Дата;Номер;Сумма;Статус;Примечание;Комментарий;Контрагент;ИНН/КПП;Организация;ИНН/КПП;Тип документа;Имя файла;Дата;Номер;Сумма;Сумма НДС;Ответственный;Подразделение;Код;Дата;Время;Тип пакета;Идентификатор пакета;Запущено в обработку;Получено контрагентом;Завершено;Увеличение суммы;НДС;Уменьшение суммы;НДС
09.12.2020;10324858-30;417,34;Выполнение завершено успешно;;"Интернет заказ: MA-18962181; Интернет заказ: MA-18962181";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;УпдДоп;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_ee8feaf6-3048-4f9d-8d60-320c2018c149.xml;09.12.2020;10324858-30;417,34;37,94;;Аптека №6;8;09.12.2020;11:05:06;ДокОтгрВх;90e7b521-7842-42a7-a55f-876cf0aec0e1;;;;0;0;0;0
09.12.2020;10324858-30;0;Выполнение завершено успешно;;"Интернет заказ: MA-18962181; Интернет заказ: MA-18962181";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;ЭДОРеестрСертификатов;SE_RSERT_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_d149f9a3-f118-4cfb-b61a-849e6ca254fb.xml;;;0;0;;Аптека №6;8;09.12.2020;11:05:06;ДокОтгрВх;90e7b521-7842-42a7-a55f-876cf0aec0e1;;;;0;0;0;0
09.12.2020;10324858-30;0;Выполнение завершено успешно;;"Интернет заказ: MA-18962181; Интернет заказ: MA-18962181";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;;Список КИЗов.pdf;;;0;0;;Аптека №6;8;09.12.2020;11:05:06;ДокОтгрВх;90e7b521-7842-42a7-a55f-876cf0aec0e1;;;;0;0;0;0
09.12.2020;10324216-30;1 952,73;Выполнение завершено успешно;;"Интернет заказ: MI-18944644; Интернет заказ: MI-18944644";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;СчФктр;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_c81068e2-324e-47d3-b902-2323a6882a08.xml;09.12.2020;10324216-30;1 952,73;177,52;;Аптека №7;9;09.12.2020;10:35:55;ДокОтгрВх;4472a6b6-f72a-4dc4-8566-5d3a6336b4e2;09.12.2020 10:35;09.12.2020 10:39;10.12.2020 10:25;0;0;0;0
09.12.2020;10324216-30;0;Выполнение завершено успешно;;"Интернет заказ: MI-18944644; Интернет заказ: MI-18944644";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;ПротЦен;ON_PROTCEN_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_9c0b4ffb-3672-4e15-bc32-e3644a135ae2.xml;09.12.2020;;0;0;;Аптека №7;9;09.12.2020;10:35:55;ДокОтгрВх;4472a6b6-f72a-4dc4-8566-5d3a6336b4e2;;;;0;0;0;0
09.12.2020;10324216-30;1 952,73;Выполнение завершено успешно;;"Интернет заказ: MI-18944644; Интернет заказ: MI-18944644";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;УпдДоп;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_798c9b68-8cee-418a-871d-26d651289b19.xml;09.12.2020;10324216-30;1 952,73;177,52;;Аптека №7;9;09.12.2020;10:35:55;ДокОтгрВх;4472a6b6-f72a-4dc4-8566-5d3a6336b4e2;;;;0;0;0;0
09.12.2020;10324216-30;0;Выполнение завершено успешно;;"Интернет заказ: MI-18944644; Интернет заказ: MI-18944644";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;ЭДОРеестрСертификатов;SE_RSERT_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_3f1e0cb6-77d0-4882-b80b-ed14de0c3a13.xml;;;0;0;;Аптека №7;9;09.12.2020;10:35:55;ДокОтгрВх;4472a6b6-f72a-4dc4-8566-5d3a6336b4e2;;;;0;0;0;0
09.12.2020;10324216-30;0;Выполнение завершено успешно;;"Интернет заказ: MI-18944644; Интернет заказ: MI-18944644";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;;Список КИЗов.pdf;;;0;0;;Аптека №7;9;09.12.2020;10:35:55;ДокОтгрВх;4472a6b6-f72a-4dc4-8566-5d3a6336b4e2;;;;0;0;0;0
09.12.2020;10324219-30;623,26;Выполнение завершено успешно;;"Интернет заказ: MI-18928354; Интернет заказ: MI-18928354";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;СчФктр;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_eb41e32c-c348-46e9-9af0-282d00be211e.xml;09.12.2020;10324219-30;623,26;56,66;;Аптека №7;9;09.12.2020;10:35:41;ДокОтгрВх;ba3ce1bc-ef95-4ebb-a72f-700192f460d7;09.12.2020 10:35;09.12.2020 10:35;10.12.2020 10:25;0;0;0;0
09.12.2020;10324219-30;623,26;Выполнение завершено успешно;;"Интернет заказ: MI-18928354; Интернет заказ: MI-18928354";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;УпдДоп;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_cab9f681-161d-44b6-a0d6-3a6059a0ccd0.xml;09.12.2020;10324219-30;623,26;56,66;;Аптека №7;9;09.12.2020;10:35:41;ДокОтгрВх;ba3ce1bc-ef95-4ebb-a72f-700192f460d7;;;;0;0;0;0
09.12.2020;10324219-30;0;Выполнение завершено успешно;;"Интернет заказ: MI-18928354; Интернет заказ: MI-18928354";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;ЭДОРеестрСертификатов;SE_RSERT_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_f07ecbb0-a5fc-4e88-a699-aa25a9ef339c.xml;;;0;0;;Аптека №7;9;09.12.2020;10:35:41;ДокОтгрВх;ba3ce1bc-ef95-4ebb-a72f-700192f460d7;;;;0;0;0;0
09.12.2020;10324066-30;392,69;Выполнение завершено успешно;;"Интернет заказ: MA-18939424; Интернет заказ: MA-18939424";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;СчФктр;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_17724f80-92ae-4eac-9a66-c48ab7f2a505.xml;09.12.2020;10324066-30;392,69;65,45;;Аптека №7;9;09.12.2020;10:34:59;ДокОтгрВх;c80bc8b9-2ad0-4851-9b55-b86c08fb4193;09.12.2020 10:34;09.12.2020 10:35;10.12.2020 10:25;0;0;0;0
09.12.2020;10324066-30;392,69;Выполнение завершено успешно;;"Интернет заказ: MA-18939424; Интернет заказ: MA-18939424";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;УпдДоп;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_da5aea77-c482-47f1-9fae-8b387becda2a.xml;09.12.2020;10324066-30;392,69;65,45;;Аптека №7;9;09.12.2020;10:34:59;ДокОтгрВх;c80bc8b9-2ad0-4851-9b55-b86c08fb4193;;;;0;0;0;0
09.12.2020;10324066-30;0;Выполнение завершено успешно;;"Интернет заказ: MA-18939424; Интернет заказ: MA-18939424";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;ЭДОРеестрСертификатов;SE_RSERT_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_426f85e6-19d8-4dbd-9559-5a2584dbc16f.xml;;;0;0;;Аптека №7;9;09.12.2020;10:34:59;ДокОтгрВх;c80bc8b9-2ad0-4851-9b55-b86c08fb4193;;;;0;0;0;0
09.12.2020;10324056-30;1 968,03;Выполнение завершено успешно;;"Интернет заказ: AM-18920258; Интернет заказ: AM-18920258";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;СчФктр;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_565605bc-5619-4cbf-9837-371b417b10e3.xml;09.12.2020;10324056-30;1 968,03;328;;Аптека №7;9;09.12.2020;10:30:28;ДокОтгрВх;42b1021c-284a-47a9-ac6f-6243e6a6b3a3;09.12.2020 10:30;09.12.2020 10:30;10.12.2020 10:25;0;0;0;0
09.12.2020;10324056-30;1 968,03;Выполнение завершено успешно;;"Интернет заказ: AM-18920258; Интернет заказ: AM-18920258";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;УпдДоп;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_8115a250-5395-44d0-8a42-ab3f8e3cfd89.xml;09.12.2020;10324056-30;1 968,03;328;;Аптека №7;9;09.12.2020;10:30:28;ДокОтгрВх;42b1021c-284a-47a9-ac6f-6243e6a6b3a3;;;;0;0;0;0
09.12.2020;10324056-30;0;Выполнение завершено успешно;;"Интернет заказ: AM-18920258; Интернет заказ: AM-18920258";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;ЭДОРеестрСертификатов;SE_RSERT_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_99426c0b-99b5-45bb-8856-9da33543375f.xml;;;0;0;;Аптека №7;9;09.12.2020;10:30:28;ДокОтгрВх;42b1021c-284a-47a9-ac6f-6243e6a6b3a3;;;;0;0;0;0
09.12.2020;10323894-30;1 091,92;Выполнение завершено успешно;;"Интернет заказ: MI-18954614; Интернет заказ: MI-18954614";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;СчФктр;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_fde07148-3ec9-473a-9389-7da0369a9065.xml;09.12.2020;10323894-30;1 091,92;99,27;;Аптека №7;9;09.12.2020;10:24:42;ДокОтгрВх;d1e965fa-b434-417b-b186-eeecdcbe364a;09.12.2020 10:24;09.12.2020 10:25;10.12.2020 10:25;0;0;0;0
09.12.2020;10323894-30;1 091,92;Выполнение завершено успешно;;"Интернет заказ: MI-18954614; Интернет заказ: MI-18954614";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;УпдДоп;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_4874e443-d610-4419-bebf-7a197bd9b442.xml;09.12.2020;10323894-30;1 091,92;99,27;;Аптека №7;9;09.12.2020;10:24:42;ДокОтгрВх;d1e965fa-b434-417b-b186-eeecdcbe364a;;;;0;0;0;0
09.12.2020;10323894-30;0;Выполнение завершено успешно;;"Интернет заказ: MI-18954614; Интернет заказ: MI-18954614";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;ЭДОРеестрСертификатов;SE_RSERT_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_e067836a-f911-414e-8d19-ade6b0038d35.xml;;;0;0;;Аптека №7;9;09.12.2020;10:24:42;ДокОтгрВх;d1e965fa-b434-417b-b186-eeecdcbe364a;;;;0;0;0;0
09.12.2020;10323894-30;0;Выполнение завершено успешно;;"Интернет заказ: MI-18954614; Интернет заказ: MI-18954614";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;;Список КИЗов.pdf;;;0;0;;Аптека №7;9;09.12.2020;10:24:42;ДокОтгрВх;d1e965fa-b434-417b-b186-eeecdcbe364a;;;;0;0;0;0
09.12.2020;10323518-30;1 068,83;Выполнение завершено успешно;;"Интернет заказ: MI-18959598; Интернет заказ: MI-18959598";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;СчФктр;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_583257b2-b311-4dc7-b408-cd64353329e5.xml;09.12.2020;10323518-30;1 068,83;97,17;;Аптека №7;9;09.12.2020;10:06:07;ДокОтгрВх;6facd51f-9b2d-446b-a6b3-72b131e44303;09.12.2020 10:06;09.12.2020 10:09;10.12.2020 10:25;0;0;0;0
